,111_111_offered,111_111_answered,amb_sys_made,amb_sys_answered,gp_appt_attended,gp_appt_available,ae_attendances_attendances,population,People,Places,Lives,year,month,ccg
1023,326.6396914766098,286.8378724203371,261.2845950275305,207.52923260007705,3769.785530094971,4328.602276777291,365.3116417534959,28.6194,93.1,100.0,95.7,2019.0,Apr,00T
1024,331.2256293077002,287.38219738545166,263.6845915456703,207.84425804978105,4075.1378435606616,4652.438555665039,372.3697911207083,28.6194,93.1,100.0,95.7,2019.0,May,00T
1025,317.4853119740217,265.251499518078,264.53018617382315,214.65461086377687,3854.448381168019,4426.333186579733,371.1119031146705,28.6194,93.1,100.0,95.7,2019.0,Jun,00T
1026,322.04986561005416,257.6387260774038,277.6742085555523,231.56857596268767,4409.002285163211,5071.594792343655,396.1997805684256,28.6194,93.1,100.0,95.7,2019.0,Jul,00T
1027,324.52848821905815,265.5528222666236,267.70945617280967,221.39035238705355,3911.262989440729,4446.878690678352,346.478262996429,28.6194,93.1,100.0,95.7,2019.0,Aug,00T
1028,310.4207515339272,244.72461628005988,261.819309277686,216.46600719957505,4399.428359783923,5011.63546405585,365.8008204225106,28.6194,93.1,100.0,95.7,2019.0,Sep,00T
1029,333.8597733353085,254.71492340764533,279.1208385811668,233.4483659816452,5093.642773782819,5822.7635799492655,373.9770924617568,28.6194,93.1,100.0,95.7,2019.0,Oct,00T
1030,391.9470231839667,275.36233574508174,291.4171937988898,246.51363200094835,4645.380406297826,5377.541108478864,383.5510178410449,28.6194,93.1,100.0,95.7,2019.0,Nov,00T
1031,437.95997889574346,313.30372983130206,304.08246039850303,255.0234642146633,3980.5167124398135,4561.591088562304,367.8623590990727,28.6194,93.1,100.0,95.7,2019.0,Dec,00T
1032,347.4504013035805,275.1446057590359,276.7975258895997,223.66185168228768,3088.3047611549587,3419.656740212962,628.7027378117189,20.3228,105.06666666666666,103.1,105.93333333333334,2019.0,Jan,01E
1033,311.8865409042715,253.4629759878818,247.2017139042493,198.60696575155225,2728.167378510835,3056.2225677564115,588.7476135178223,20.3228,105.06666666666666,103.1,105.93333333333334,2019.0,Feb,01E
1034,317.91688391064827,277.7243172901326,259.44625572563933,208.0370038841394,2949.249119215856,3252.89822268585,652.6167654063416,20.3228,105.06666666666666,103.1,105.93333333333334,2019.0,Mar,01E
1035,326.63969147660976,286.8378724203371,261.2845950275305,207.52923260007705,2613.763851437794,2950.872911213022,673.1847973704411,20.3228,105.06666666666666,103.1,105.93333333333334,2019.0,Apr,01E
1036,331.2256293077003,287.38219738545166,263.68459154567023,207.84425804978105,2834.4027397799514,3141.9391028795244,673.0371799161533,20.3228,105.06666666666666,103.1,105.93333333333334,2019.0,May,01E
1037,317.4853119740217,265.251499518078,264.53018617382315,214.65461086377687,2537.839274115772,2840.0122030428874,654.6834097663708,20.3228,105.06666666666666,103.1,105.93333333333334,2019.0,Jun,01E
1038,322.04986561005416,257.63872607740376,277.67420855555235,231.5685759626877,3043.8227015962366,3378.225441376188,707.3828409471136,20.3228,105.06666666666666,103.1,105.93333333333334,2019.0,Jul,01E
1039,324.52848821905815,265.5528222666236,267.70945617280967,221.3903523870535,2596.0005511051627,2881.492707697758,666.1483653827228,20.3228,105.06666666666666,103.1,105.93333333333334,2019.0,Aug,01E
1040,310.4207515339272,244.72461628005985,261.819309277686,216.46600719957505,3042.100497962879,3434.270868187454,665.8531304741472,20.3228,105.06666666666666,103.1,105.93333333333334,2019.0,Sep,01E
